Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
365236	365466	230	966	397
365805	366055	250	976	393
366075	366335	260	983	373
366355	366445	90	979	389
366485	366715	230	968	395
366755	369154	2399	981	408
369183	369463	280	934	396
369793	369893	100	929	89
369923	370223	300	945	116
370243	370353	110	955	157
370403	370693	290	940	266
370752	372171	1419	975	149
372202	372632	430	967	136
373141	373251	110	929	466
373341	373421	80	922	383
373441	373561	120	930	370
373611	373691	80	931	282
373711	373811	100	961	295
374020	374190	170	1007	395
374290	374550	260	1002	378
374610	374700	90	989	350
374720	374820	100	995	365
374960	375100	140	987	420
375160	375250	90	896	320
375430	375690	260	870	191
375729	375919	190	875	158
375959	376199	240	887	166
376219	376309	90	885	152
376719	376859	140	917	388
376909	377039	130	1010	389
377149	377309	160	1042	373
377388	377468	80	1048	378
377558	377738	180	989	377
377788	377858	70	901	290
377948	378328	380	907	297
378408	378488	80	802	173
378528	378708	180	825	191
378788	378988	200	858	209
379008	379108	100	865	229
379267	379347	80	991	456
379777	379867	90	960	506
380047	380287	240	888	485
380477	381177	700	939	477
381186	381646	460	959	441
381986	382216	230	880	271
382256	382326	70	967	265
382665	382765	100	909	247
383755	383845	90	1126	423
384115	384245	130	1126	469
384384	384624	240	1011	372
384664	384734	70	991	312
384844	385024	180	1010	234
385044	386833	1789	1061	134
386893	387093	200	897	33
387123	387523	400	832	71
