Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
11633	240	240	1011	212
11643	240	240	1011	212
11653	240	240	1011	212
11663	240	240	1011	212
11673	240	240	1011	212
11683	240	240	1011	212
11723	160	160	977	261
11733	160	160	977	261
11743	160	160	977	261
11753	160	160	977	261
11763	160	160	977	261
11773	160	160	977	261
11783	160	160	977	261
11793	160	160	977	261
11803	160	160	977	261
11813	160	160	977	261
11823	160	160	977	261
11833	160	160	977	261
11843	160	160	977	261
11853	160	160	977	261
11863	160	160	977	261
11873	160	160	977	261
11903	220	220	969	279
11913	220	220	969	279
11923	220	220	969	279
11933	220	220	969	279
11943	220	220	969	279
11953	220	220	969	279
11963	220	220	969	279
11973	220	220	969	279
11983	220	220	969	279
11993	220	220	969	279
12003	220	220	969	279
12013	220	220	969	279
12023	220	220	969	279
12033	220	220	969	279
12043	220	220	969	279
12053	220	220	969	279
12063	220	220	969	279
12073	220	220	969	279
12083	220	220	969	279
12093	220	220	969	279
12103	220	220	969	279
12113	220	220	969	279
12263	340	340	1001	226
12273	340	340	1001	226
12283	340	340	1001	226
12293	340	340	1001	226
12303	340	340	1001	226
12313	340	340	1001	226
12323	340	340	1001	226
12333	340	340	1001	226
12343	340	340	1001	226
12353	340	340	1001	226
12363	340	340	1001	226
12373	340	340	1001	226
12383	340	340	1001	226
12393	340	340	1001	226
12403	340	340	1001	226
12413	340	340	1001	226
12423	340	340	1001	226
12433	340	340	1001	226
12443	340	340	1001	226
12453	340	340	1001	226
12463	340	340	1001	226
12473	340	340	1001	226
12483	340	340	1001	226
12493	340	340	1001	226
12503	340	340	1001	226
12513	340	340	1001	226
12523	340	340	1001	226
12533	340	340	1001	226
12543	340	340	1001	226
12553	340	340	1001	226
12563	340	340	1001	226
12573	340	340	1001	226
12583	340	340	1001	226
12593	340	340	1001	226
12623	80	80	1003	257
12633	80	80	1003	257
12643	80	80	1003	257
12653	80	80	1003	257
12663	80	80	1003	257
12673	80	80	1003	257
12683	80	80	1003	257
12693	80	80	1003	257
12753	230	230	1009	278
12763	230	230	1009	278
12773	230	230	1009	278
12783	230	230	1009	278
12793	230	230	1009	278
12803	230	230	1009	278
12813	230	230	1009	278
12822	230	230	1009	278
12832	230	230	1009	278
12842	230	230	1009	278
12852	230	230	1009	278
12862	230	230	1009	278
12872	230	230	1009	278
12882	230	230	1009	278
12892	230	230	1009	278
12902	230	230	1009	278
12912	230	230	1009	278
12922	230	230	1009	278
12932	230	230	1009	278
12942	230	230	1009	278
12952	230	230	1009	278
12962	230	230	1009	278
12972	230	230	1009	278
13052	200	200	1026	303
13062	200	200	1026	303
13072	200	200	1026	303
13082	200	200	1026	303
13092	200	200	1026	303
13102	200	200	1026	303
13112	200	200	1026	303
13122	200	200	1026	303
13132	200	200	1026	303
13142	200	200	1026	303
13152	200	200	1026	303
13162	200	200	1026	303
13172	200	200	1026	303
13182	200	200	1026	303
13192	200	200	1026	303
13202	200	200	1026	303
13212	200	200	1026	303
13222	200	200	1026	303
13232	200	200	1026	303
13242	200	200	1026	303
13302	750	750	1029	312
13312	750	750	1029	312
13322	750	750	1029	312
13332	750	750	1029	312
13342	750	750	1029	312
13352	750	750	1029	312
13362	750	750	1029	312
13372	750	750	1029	312
13382	750	750	1029	312
13392	750	750	1029	312
13402	750	750	1029	312
13412	750	750	1029	312
13422	750	750	1029	312
13432	750	750	1029	312
13442	750	750	1029	312
13452	750	750	1029	312
13462	750	750	1029	312
13472	750	750	1029	312
13482	750	750	1029	312
13492	750	750	1029	312
13502	750	750	1029	312
13512	750	750	1029	312
13522	750	750	1029	312
13532	750	750	1029	312
13542	750	750	1029	312
13552	750	750	1029	312
13562	750	750	1029	312
13572	750	750	1029	312
13582	750	750	1029	312
13592	750	750	1029	312
13602	750	750	1029	312
13612	750	750	1029	312
13622	750	750	1029	312
13632	750	750	1029	312
13642	750	750	1029	312
13652	750	750	1029	312
13662	750	750	1029	312
13672	750	750	1029	312
13682	750	750	1029	312
13692	750	750	1029	312
13702	750	750	1029	312
13712	750	750	1029	312
13722	750	750	1029	312
13732	750	750	1029	312
13742	750	750	1029	312
13752	750	750	1029	312
13762	750	750	1029	312
13772	750	750	1029	312
13782	750	750	1029	312
13792	750	750	1029	312
13802	750	750	1029	312
13812	750	750	1029	312
13822	750	750	1029	312
13832	750	750	1029	312
13842	750	750	1029	312
13852	750	750	1029	312
13862	750	750	1029	312
13872	750	750	1029	312
13882	750	750	1029	312
13892	750	750	1029	312
13902	750	750	1029	312
13912	750	750	1029	312
13922	750	750	1029	312
13932	750	750	1029	312
13942	750	750	1029	312
13952	750	750	1029	312
13962	750	750	1029	312
13972	750	750	1029	312
13982	750	750	1029	312
13992	750	750	1029	312
14002	750	750	1029	312
14012	750	750	1029	312
14022	750	750	1029	312
14032	750	750	1029	312
14042	750	750	1029	312
14142	120	120	1021	303
14152	120	120	1021	303
14162	120	120	1021	303
14172	120	120	1021	303
14182	120	120	1021	303
14192	120	120	1021	303
14202	120	120	1021	303
14212	120	120	1021	303
14222	120	120	1021	303
14232	120	120	1021	303
14242	120	120	1021	303
14252	120	120	1021	303
14392	170	170	989	288
14402	170	170	989	288
14412	170	170	989	288
14422	170	170	989	288
14432	170	170	989	288
14442	170	170	989	288
14452	170	170	989	288
14462	170	170	989	288
14472	170	170	989	288
14482	170	170	989	288
14492	170	170	989	288
14502	170	170	989	288
14512	170	170	989	288
14522	170	170	989	288
14532	170	170	989	288
14541	170	170	989	288
14551	170	170	989	288
14801	130	130	950	316
14811	130	130	950	316
14821	130	130	950	316
14831	130	130	950	316
14841	130	130	950	316
