start_time	end_time	label
341.29	341.37	tool
341.39	341.48	tool
341.66	341.74	tool
342.169	342.289	BG
342.359	342.429	tool
342.439	342.579	tool
342.949	343.059	BG
343.109	343.349	BG
343.409	343.569	BG
343.708	343.838	BG
343.938	344.138	BG
344.208	344.278	BG
344.328	344.458	BG
344.478	344.638	BG
344.668	344.868	BG
344.898	345.088	BG
345.138	345.428	BG
345.527	345.917	tool
346.637	346.757	tool
346.807	347.037	tool
347.056	347.146	BG
347.636	347.716	BG
347.736	347.896	BG
348.046	348.116	BG
348.136	348.236	BG
348.296	348.676	BG
348.735	348.855	BG
348.875	348.965	BG
349.035	349.195	BG
349.295	349.475	tool
349.515	349.585	tool
349.625	349.705	tool
349.795	349.925	tool
349.965	350.055	tool
350.304	350.554	BG
350.614	350.704	tool
350.894	351.134	BG
351.154	351.254	BG
351.824	351.984	BG
352.253	352.353	BG
352.393	352.583	BG
352.633	352.783	BG
352.803	353.063	BG
353.093	353.223	BG
353.243	353.523	BG
353.672	353.882	BG
353.982	354.052	BG
354.072	354.282	BG
354.412	354.672	BG
354.772	354.842	BG
354.882	355.072	BG
355.122	355.672	BG
355.711	356.041	BG
356.081	356.301	BG
356.311	356.711	BG
356.811	357.77	BG
357.86	358.49	BG
358.51	359.08	BG
359.109	359.439	BG
359.459	359.969	BG
360.009	360.209	BG
360.229	360.449	BG
360.578	360.678	BG
360.798	360.948	BG
361.028	361.598	BG
361.618	362.717	BG
362.757	363.537	BG
363.567	363.647	BG
363.707	363.877	BG
363.936	364.096	BG
364.256	364.386	BG
364.546	364.726	BG
365.236	365.466	module
365.805	366.055	module
366.075	366.335	module
366.355	366.445	module
366.485	366.715	BG
366.755	369.154	module
369.183	369.463	module
369.793	369.893	BG
369.923	370.223	BG
370.243	370.353	BG
370.403	370.693	BG
370.752	372.171	BG
372.202	372.632	BG
373.141	373.251	BG
373.341	373.421	BG
373.441	373.561	module
373.611	373.691	BG
373.711	373.811	BG
374.02	374.19	BG
374.29	374.55	tool
374.61	374.7	tool
374.72	374.82	tool
374.96	375.1	tool
375.16	375.25	tool
375.43	375.69	tool
375.729	375.919	tool
375.959	376.199	tool
376.219	376.309	tool
376.719	376.859	tool
376.909	377.039	tool
377.149	377.309	tool
377.388	377.468	tool
377.558	377.738	tool
377.788	377.858	tool
377.948	378.328	tool
378.408	378.488	tool
378.528	378.708	tool
378.788	378.988	tool
379.008	379.108	BG
379.267	379.347	BG
379.777	379.867	BG
380.047	380.287	BG
380.477	381.177	BG
381.186	381.646	module
381.986	382.216	BG
382.256	382.326	BG
382.665	382.765	BG
383.755	383.845	BG
384.115	384.245	BG
384.384	384.624	BG
384.664	384.734	BG
384.844	385.024	BG
385.044	386.833	BG
386.893	387.093	BG
387.123	387.523	BG
